GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1629018,Gary Trent Jr.,Gary,1610612749,MIL,26.0,2,0,2,0.0,12.166666666666666,14.8,23.7,0.625,14.8,20.7,0.714,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.9,0.0,0.0,3.0,3.0,0.0,44.4,-11.8,42.0,0,0,62.1,76,84,43,84,42,6,12,25,4,4,17,49,51,49,43,60,69,49,9,26,29,12,53,60,9,68,30,40,5,9
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,30.0,2,0,2,0.0,12.166666666666666,5.9,17.8,0.333,0.0,3.0,0.0,3.0,8.9,0.333,3.0,17.8,20.7,8.9,3.0,0.0,3.0,0.0,3.0,5.9,14.8,-11.8,58.9,2,1,50.3,76,84,43,84,42,37,25,50,47,59,47,37,20,46,23,7,6,12,27,26,9,31,53,22,46,68,13,12,1,20
Players,1629312,Haywood Highsmith,Haywood,1610612748,MIA,28.0,1,0,1,0.0,4.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,-60.6,0.0,0,0,0.0,100,84,71,84,85,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,21,60,80,102,107,40,5,107
Players,1630171,Isaac Okoro,Isaac,1610612739,CLE,24.0,1,0,1,0.0,1.6733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,21.5,150.6,21.5,0,0,21.5,100,84,71,84,109,70,92,70,47,70,47,2,2,1,43,69,77,49,45,26,29,31,77,3,29,4,71,40,5,68
Players,1628392,Isaiah Hartenstein,Isaiah,1610612760,OKC,27.0,8,6,2,0.75,17.46,4.1,8.2,0.5,0.0,0.0,0.0,2.1,2.1,1.0,4.1,4.1,8.2,0.0,0.0,0.0,0.0,0.0,2.1,2.1,10.3,4.1,20.2,2,0,18.6,18,10,43,19,30,49,69,29,47,70,47,42,46,1,18,48,36,49,45,26,29,31,63,54,62,43,77,12,5,75
Players,1627826,Ivica Zubac,Ivica,1610612746,LAC,28.0,4,2,2,0.5,18.42,5.9,5.9,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.9,5.9,0.0,0.0,2.0,3.9,0.0,5.9,3.9,11.7,-5.9,36.4,3,0,29.3,39,38,43,44,29,38,79,1,47,70,47,49,48,49,31,52,53,49,45,15,7,31,32,36,52,64,41,4,5,49
Players,1631095,Jabari Smith Jr.,Jabari,1610612745,HOU,22.0,2,0,2,0.0,3.1966666666666668,0.0,11.3,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,11.3,0.0,0.0,-90.1,-11.3,0,0,0.0,76,84,43,84,94,70,55,70,47,19,47,49,51,49,43,69,77,49,5,26,29,31,14,60,80,116,130,40,5,107
Players,1630183,Jaden McDaniels,Jaden,1610612750,MIN,24.0,5,4,1,0.8,14.873333333333333,9.7,14.5,0.667,7.3,9.7,0.75,7.3,7.3,1.0,0.0,12.1,12.1,2.4,2.4,4.8,0.0,2.4,2.4,4.8,33.9,36.3,64.1,1,0,65.4,26,20,71,14,37,19,36,20,10,25,14,17,23,1,43,12,21,38,29,5,29,18,59,30,15,22,11,21,5,7
Players,1628973,Jalen Brunson,Jalen,1610612752,NYK,28.0,11,7,4,0.636,42.725,14.3,36.2,0.395,3.4,12.6,0.267,15.2,17.7,0.857,0.8,0.0,0.8,5.1,4.2,0.0,0.0,2.5,4.2,10.1,47.2,31.2,51.6,3,0,56.5,1,6,1,33,5,8,5,48,26,16,39,6,5,29,41,69,76,25,19,26,29,16,42,11,7,23,19,4,5,18
Players,1631105,Jalen Duren,Jalen,1610612765,DET,21.0,5,2,3,0.4,20.93,6.9,8.6,0.8,0.0,0.0,0.0,5.2,6.9,0.75,3.4,13.8,17.2,1.7,5.2,0.0,0.0,0.0,1.7,3.4,18.9,-20.6,37.0,1,0,37.8,26,38,19,64,21,30,67,15,47,70,47,29,25,32,21,9,9,45,15,26,29,31,70,44,36,75,39,21,5,34
Players,1630224,Jalen Green,Jalen,1610612745,HOU,23.0,3,0,3,0.0,1.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.3,0.0,0,0,0.0,56,84,19,84,107,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,122,107,40,5,107
Players,1631114,Jalen Williams,Jalen,1610612760,OKC,24.0,10,6,4,0.6,35.748333333333335,8.1,18.1,0.444,4.0,7.0,0.571,7.0,9.1,0.778,1.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,27.2,15.1,42.5,0,0,43.3,9,10,1,37,10,24,24,43,18,34,23,18,19,31,39,39,51,43,39,23,23,25,75,21,21,35,28,40,5,27
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,28.0,8,4,4,0.5,35.035,4.1,14.4,0.286,1.0,6.2,0.167,2.1,2.1,1.0,0.0,4.1,4.1,3.1,2.1,1.0,0.0,5.1,1.0,2.1,11.3,0.0,21.9,0,0,21.6,18,20,1,44,14,50,37,57,44,41,44,43,47,1,43,49,64,33,33,21,29,9,73,55,56,46,70,40,5,66
Players,201935,James Harden,James,1610612746,LAC,35.0,4,2,2,0.5,18.628333333333334,7.7,11.6,0.667,1.9,1.9,1.0,3.9,3.9,1.0,0.0,1.9,1.9,5.8,5.8,0.0,1.9,0.0,1.9,1.9,21.3,-1.9,32.3,2,0,34.8,39,38,43,44,27,25,50,20,35,66,1,34,37,1,43,67,74,20,10,26,14,31,65,57,30,57,47,12,5,42
Players,1641716,Jarace Walker,Jarace,1610612754,IND,21.0,1,1,0,1.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.9,0.0,0,0,0.0,100,53,124,1,121,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,2,107,40,5,107
Players,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,25.0,2,0,2,0.0,5.975,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,-48.2,7.2,0,0,6.0,76,84,43,84,77,70,49,70,47,70,47,49,51,49,43,31,52,49,45,26,29,4,31,60,80,98,104,40,5,104
Players,1628386,Jarrett Allen,Jarrett,1610612739,CLE,27.0,4,1,3,0.25,7.976666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,13.5,27.1,1,0,18.1,39,53,19,75,57,70,92,70,47,70,47,49,51,49,43,69,77,49,45,6,6,31,77,60,80,37,60,21,5,76
Players,1630643,Jay Huff,Jay,1610612763,MEM,27.0,1,0,1,0.0,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1963.6,0.0,0,0,0.0,100,84,71,84,127,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,129,107,40,5,107
